"gene","EC_C1_IGFBP7","EC_C10_COL1A2","EC_C11_RROX1","EC_C12_FCN3","EC_C13_MKI67","EC_C2_GJA5","EC_C3_HSPA1A","EC_C4_FLT1","EC_C5_ROBO2","EC_C6_ACKR1","EC_C7_IL6","EC_C8_IL32","EC_C9_CXCR4"
"DPH6",5.41,16.57,6.33,4.56,9.18,14.71,6.54,13.38,22.77,8.68,10.49,11.19,6.26
"DPH6-DT",0.28,1.69,0.2,0.68,0.47,2.03,0.2,1.88,5.63,1.29,0.69,0.98,0.82
"C15orf41",1.72,6.09,2.25,0.91,4.24,6.08,2.17,6.04,11.59,5.11,4.15,4.12,3.16
"MEIS2",7.98,30.52,16.75,13.67,5.88,15.43,17.91,7.36,14.38,22.62,23.6,6.09,10.94
"SPRED1",10.09,32.87,5.11,11.85,26.35,16.73,13.86,46.98,46.06,14.25,19.58,33.4,11.13
"FAM98B",5.33,15.82,5.92,7.52,14.82,13.28,7.59,16.81,18.47,9.69,10.43,13.3,8.66
"RASGRP1",0.23,1.4,0,0.23,0.94,0.89,0.27,0.71,1.44,0.71,0.26,0.8,14.54
"C15orf54",0.03,0,0.1,0,0.71,0.1,0.05,0.15,0.11,0.09,0.2,0.37,0.13
"THBS1",13.39,33.33,17.57,6.61,28,25.17,11.91,27.48,20.42,20.43,34.36,32.22,16.62
"FSIP1",0.65,2.25,1.33,0.23,2.82,2.17,1.2,2.16,3.33,0.92,0.59,2.44,1.2
"GPR176",0.46,8.99,0.1,0.23,3.29,4.9,0.32,1.9,1.95,0.68,0.42,1.36,0.51
"GPR176-DT",0.02,0.09,0,0,0.24,0.04,0,0.1,0.03,0,0,0.09,0.06
"EIF2AK4",16.79,37.55,13.79,13.67,36.24,36.71,17.83,37.58,37.72,27.23,30.3,37.24,16.37
"SRP14",81.58,94.48,88.56,75.4,92.94,96.13,79.92,89.82,86.27,93.23,95.88,92.6,83.75
"SRP14-AS1",1.83,5.34,1.63,2.28,3.53,4.26,3.1,3.5,5.42,3.02,3.66,3.98,2.65
"BMF",1.6,3.18,0.41,1.82,5.65,5.32,1.57,5.51,4.12,2.06,2.16,6.93,2.09
"BUB1B",0.11,0.19,0,0.23,23.29,0.27,0.07,0.13,0.43,0.12,0.13,0.33,0.38
"PAK6",0.02,0,0,0,0,0.06,0.02,0.13,0.08,0.06,0,0.05,0.38
"PLCB2",0.23,0.84,0.1,0.91,0.94,1.28,0.27,1.17,0.7,0.22,0.26,1.03,4.68
"PLCB2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0
"INAFM2",2.39,5.99,2.04,2.73,4.47,7.88,2.57,8.02,4.87,2.25,2.06,6.51,3.1
"CCDC9B",0.99,2.34,1.23,0.46,1.18,4.96,1.05,6.22,2.76,1.38,0.62,2.95,1.64
"PHGR1",0.29,0.75,0.1,0,0.24,0.6,0.37,0.23,0.27,0.4,0.65,0.56,0
"DISP2",0.33,1.03,0.31,0.46,3.29,0.93,0.42,0.56,0.87,0.43,0.62,0.8,0.51
"KNSTRN",1.21,2.72,1.43,0,22.59,2.4,1.35,2.77,2.55,1.78,1.8,2.9,1.39
"IVD",6.74,17.51,9.6,8.2,17.41,13.61,8.74,16.76,18.39,12.86,11.93,14.89,9.36
"BAHD1",3.45,8.52,4.39,2.96,11.06,8.89,4.7,10.23,11.75,6.06,7.88,9.37,5.44
"CHST14",4.96,13.11,5.72,4.33,18.12,8.52,5.32,10.21,8.53,7.63,7.19,12.83,3.1
"CCDC32",5.04,10.39,6.95,6.83,14.35,11.71,9.19,18.99,28.49,12.06,12.85,16.77,11.44
"RPUSD2",1.72,5.06,2.25,1.14,4,2.92,2.55,2.95,3.22,2.55,2.97,4.31,3.03
"KNL1",0.17,0.66,0.41,0.46,40.24,0.5,0.32,1.07,1.6,0.4,0.29,1.22,1.33
"RAD51-AS1",1.06,2.25,2.45,0.23,4.71,2.54,1.07,7.47,3.09,1.82,0.98,4.07,2.28
"RAD51",0.21,0,0,0.23,16.47,0.19,0.2,0.46,0.24,0.06,0.26,0.7,0.32
"RMDN3",8.6,19.19,8.99,8.43,18.35,15.24,10.31,16.48,16.17,12.86,17.06,15.97,10.05
"GCHFR",2.89,7.49,2.45,3.19,5.41,9.45,4.3,1.4,4.14,8.52,10.53,3.65,10.3
"DNAJC17",7.39,14.98,8.07,7.52,15.53,13.28,7.92,15.54,17.14,11.66,13.63,15.88,9.17
"ZFYVE19",4.47,9.74,5.21,4.1,8.94,7.07,5.39,8.05,9.37,6.71,9.41,9.93,3.6
"PPP1R14D",0.01,0,0,0,0.24,0.14,0,0.13,0.08,0.06,0,0.05,0.06
"SPINT1-AS1",0.37,0.66,0.51,0.23,0.47,0.54,0.15,0.91,0.24,0.18,0.29,0.52,0.7
"SPINT1",0.61,1.4,0.61,0,0.94,0.97,0.42,0.91,0.49,0.34,1.18,0.75,1.26
"RHOV",0.28,0.47,0.82,0,0.71,0.23,0.42,0.05,0.11,0.4,1.08,0.05,0.44
"VPS18",2.04,3.46,2.04,2.28,8.71,4.9,2.35,5.41,5.12,3.14,2.91,5.48,3.79
