"Cancer","CellMajor","CellMin1","n","pct"
"KC","B cells","B_C7_MKI67",140,2.005
"KC","B cells","B_C8_BACH2",309,4.426
"KC","B cells","B_C9_IGLL5",280,4.011
"KC","Endothelial cells","EC_C10_COL1A2",264,5.208
"KC","Endothelial cells","EC_C11_RROX1",27,0.533
"KC","Endothelial cells","EC_C12_FCN3",42,0.829
"KC","Endothelial cells","EC_C13_MKI67",30,0.592
"KC","Endothelial cells","EC_C1_IGFBP7",1314,25.922
"KC","Endothelial cells","EC_C2_GJA5",580,11.442
"KC","Endothelial cells","EC_C3_HSPA1A",513,10.12
"KC","Endothelial cells","EC_C4_FLT1",653,12.882
"KC","Endothelial cells","EC_C5_ROBO2",357,7.043
"KC","Endothelial cells","EC_C6_ACKR1",398,7.852
"KC","Endothelial cells","EC_C7_IL6",347,6.846
"KC","Endothelial cells","EC_C8_IL32",303,5.978
"KC","Endothelial cells","EC_C9_CXCR4",241,4.754
"KC","Epithelial cells","Epithelial",8050,100
"KC","Mast cells","Mast",1483,100
"KC","Mesenchymal cells","F_C1_MMP11",1530,19.018
"KC","Mesenchymal cells","F_C2_MIF",1161,14.431
"KC","Mesenchymal cells","F_C3_CXCL12",1005,12.492
"KC","Mesenchymal cells","F_C4_IGF1",528,6.563
"KC","Mesenchymal cells","F_C5_SPP1",171,2.126
"KC","Mesenchymal cells","F_C6_COL2A1",24,0.298
"KC","Mesenchymal cells","F_C7_MKI67",34,0.423
"KC","Mesenchymal cells","Per_C1_RGS5",2315,28.776
"KC","Mesenchymal cells","Per_C2_MYH11",1277,15.873
"KC","Myeloid cells","M_C10_MKI67_Macro",426,1.127
"KC","Myeloid cells","M_C11_MT1G_Macro",216,0.571
"KC","Myeloid cells","M_C12_HSPA1A_Macro",378,1
"KC","Myeloid cells","M_C13_MMP9_Macro",60,0.159
"KC","Myeloid cells","M_C14_CD1C_cDC",1551,4.104
"KC","Myeloid cells","M_C15_LAMP3_cDC",465,1.23
"KC","Myeloid cells","M_C16_LILRA4_pDC",928,2.455
"KC","Myeloid cells","M_C17_S100A8_Neutro",7265,19.221
"KC","Myeloid cells","M_C18_ISG15_Neutro",447,1.183
"KC","Myeloid cells","M_C19_AZU1_Neutro",379,1.003
"KC","Myeloid cells","M_C1_IL1B_Mono",6919,18.306
"KC","Myeloid cells","M_C20_CXCL8_Neutro",566,1.497
"KC","Myeloid cells","M_C2_S100A8_Mono",308,0.815
"KC","Myeloid cells","M_C3_FCGR3A_Mono",1835,4.855
"KC","Myeloid cells","M_C4_VCAN_Mono",1335,3.532
"KC","Myeloid cells","M_C5_CCL3_C1QA_Macro",6013,15.909
"KC","Myeloid cells","M_C6_SPP1_Macro",3791,10.03
"KC","Myeloid cells","M_C7_TREM2_Macro",1999,5.289
"KC","Myeloid cells","M_C8_BMP2K_Macro",2173,5.749
"KC","Myeloid cells","M_C9_ISG15_Macro",743,1.966
"KC","Plasma cells","PC_C1_TXNDC5",398,25.911
"KC","Plasma cells","PC_C2_GMDS",528,34.375
"KC","Plasma cells","PC_C3_IGHGP",255,16.602
"KC","Plasma cells","PC_C4_CD79A",2,0.13
"KC","Plasma cells","PC_C5_HSPA1A",71,4.622
"KC","Plasma cells","PC_C7_HLA-DRA",7,0.456
